name,college,number,id,draft_round,position,dob,draft_year,draft_pick
Paul Posluszny,Penn State,,10478,2,,"Oct 10, 1984",2007,34
Stanley Jean-Baptiste,Nebraska,8,16774,2,CB,"Apr 12, 1990",2014,58
Andrew Gachkar,Missouri,,14141,7,,"Nov 4, 1988",2011,234
Marcedes Lewis,UCLA,9,9614,1,TE,"May 19, 1984",2006,28
Jonathan Grimes,William & Mary,,15632,,,"Dec 21, 1989",,
Marquez Williams,Miami,,2985288,7,,"Jul 16, 1994",2017,240
Calais Campbell,Miami,3,11284,2,DE,"Sep 1, 1986",2008,50
Abry Jones,Georgia,5,16376,,DT,"Sep 8, 1991",,
Matt Overton,Western Washington,,13186,,,"Jul 6, 1985",,
Allen Hurns,Miami,7,17177,,WR,"Nov 12, 1991",,
Jalen Ramsey,Florida State,0,3045373,1,CB,"Oct 24, 1994",2016,5
Tommy Bohanon,Wake Forest,0,15973,7,FB,"Sep 10, 1990",2013,215
Akeem Dent,Georgia,,14006,3,,"Sep 27, 1987",2011,91
Charles James II,Charleston Southern,,16561,,,"May 14, 1990",,
Michael Bennett,Ohio State,6,2576371,6,DT,"Feb 24, 1993",2015,180
Amba Etta-Tawo,Syracuse,6,2976215,,WR,"Nov 10, 1993",,
Jamal Robinson,Louisiana,,2574024,,,"Jan 13, 1993",,
DuJuan Harris,Troy,,14255,,,"Sep 3, 1988",,
A.J. Bouye,UCF,1,16562,,CB,"Aug 16, 1991",,
Aaron Colvin,Oklahoma,2,16900,4,CB,"Oct 2, 1991",2014,114
James O'Shaughnessy,Illinois State,0,2508079,5,TE,"Jan 14, 1992",2015,173
Eli Ankou,UCLA,4,3008150,,DT,"Jun 8, 1994",,
Donald Payne,Stetson,2,3048402,,LB,"Jul 12, 1994",,
Marqise Lee,USC,1,16787,2,WR,"Nov 25, 1991",2014,39
Jermey Parnell,Ole Miss,8,13066,,OT,"Jul 20, 1986",,
Max McCaffrey,Duke,1,2969896,,WR,"May 17, 1994",,
Lafayette Pitts,Pittsburgh,0,2576665,,CB,"Sep 24, 1992",,
Patrick Omameh,Michigan,,16327,,,"Dec 29, 1989",,
Josh Lambo,Texas A&M,4,2998120,,PK,"Nov 19, 1990",,
Marcell Dareus,Alabama,9,13992,1,DT,"Mar 13, 1990",2011,3
Jaydon Mickens,Washington,5,2978308,,WR,"Apr 21, 1994",,
Tyler Shatley,Clemson,,17037,,,"May 5, 1991",,
Brandon Linder,Miami,,16770,3,,"Jan 25, 1992",2014,93
Calvin Pryor III,Louisville,,16729,1,,"Jul 2, 1992",2014,18
Jaelen Strong,Arizona State,0,3043263,3,WR,"Jan 25, 1994",2015,70
Colin Holba,Louisville,9,3040072,6,LS,"Jul 8, 1994",2017,213
Jordan Richards,Stanford,,2577139,2,,"Jan 21, 1993",2015,64
Elandon Roberts,Houston,2,2987743,6,LB,"Apr 22, 1994",2016,214
Josh Augusta,Missouri,,3051846,,,"Aug 24, 1994",,
Darius Kilgo,Maryland,6,2512544,6,NT,"Dec 14, 1991",2015,203
Geneo Grissom,Oklahoma,6,2514217,3,DE,"Jun 4, 1992",2015,97
Jonathan Freeny,Rutgers,5,14387,,LB,"Jun 15, 1989",,
Trevor Bates,Maine,3,2585785,7,LB,"Aug 28, 1993",2016,239
Harvey Langi,BYU,8,2570996,,LB,"Sep 24, 1992",,
Woodrow Hamilton IV,Ole Miss,6,2577392,,DT,"Dec 20, 1992",,
Justin Coleman,Tennessee,8,2577707,,CB,"Mar 27, 1993",,
Damarius Travis,Minnesota,,2970724,,,"Apr 19, 1994",,
Jason Thompson,Utah,,2976184,,,"Apr 21, 1994",,
Caleb Kidder,Montana,4,2982936,,DE,"Feb 4, 1994",,
Jonathan Jones,Auburn,1,2971027,,CB,"Sep 20, 1993",,
Cyrus Jones,Alabama,1,2979849,2,CB,"Nov 29, 1993",2016,60
Deatrich Wise Jr.,Arkansas,1,2980080,4,DE,"Jul 26, 1994",2017,131
Ryan Allen,Louisiana Tech,,16382,,,"Feb 28, 1990",,
Cole Croston,Iowa,4,2991684,,OT,"Dec 25, 1993",,
Brandon King,Auburn,6,3051905,,LB,"Jun 8, 1993",,
D.J. Killings,UCF,5,3054031,,CB,"Aug 9, 1995",,
Jacob Hollister,Wyoming,7,3125404,,TE,"Nov 18, 1993",,
Austin Carr,Northwestern,0,2974339,,WR,"Dec 25, 1993",,
K.J. Maye,,,2970712,,,"Feb 25, 1994",,
D.J. Foster,Arizona State,7,2978124,,RB,"Nov 22, 1993",,
Brandon Bolden,Ole Miss,8,15478,,RB,"Jan 26, 1990",,
Dion Lewis,Pittsburgh,3,14198,5,RB,"Sep 27, 1990",2011,149
Sam Cotton,Nebraska,,2974307,,,"Jan 27, 1994",,
Devin Lucien,Arizona State,0,2577190,7,WR,"Jun 26, 1993",2016,225
Glenn Gronkowski,Kansas State,,2977698,,,"Mar 25, 1993",,
Stephen Gostkowski,Memphis,3,9704,4,PK,"Jan 28, 1984",2006,118
LeShun Daniels Jr.,Iowa,6,3040143,,RB,"Jun 4, 1995",,
Jimmy Garoppolo,Eastern Illinois,0,16760,2,QB,"Nov 2, 1991",2014,62
Jacoby Brissett,NC State,7,2578570,3,QB,"Dec 11, 1993",2016,91
David Harris,Michigan,,10491,2,,"Jan 21, 1984",2007,47
Malcom Brown,Texas,0,2971698,1,DT,"Feb 2, 1994",2015,32
Malcolm Butler,West Alabama,1,17435,,CB,"Mar 2, 1990",,
Alan Branch,Michigan,,10477,2,,"Dec 29, 1984",2007,33
Devin McCourty,Rutgers,,13236,1,,"Aug 13, 1987",2010,27
Vincent Valentine,Nebraska,9,2974333,3,DT,"Feb 23, 1994",2016,96
Lawrence Guy,Arizona State,3,14185,7,DE,"Mar 17, 1990",2011,233
Patrick Chung,Oregon,,12527,2,,"Aug 19, 1987",2009,34
Adam Butler,Vanderbilt,0,2972342,,DT,"Apr 12, 1994",,
David Jones,Richmond,,2969018,,,"Dec 4, 1993",,
Kyle Van Noy,BYU,3,16772,2,LB,"Mar 26, 1991",2014,40
James Ferentz,Iowa,,17361,,,"Jun 5, 1989",,
Joe Cardona,Navy,9,2575907,5,LS,"Apr 16, 1992",2015,166
Eric Rowe,Utah,5,2576002,2,CB,"Oct 3, 1992",2015,47
Kenny Moore II,Valdosta State,3,4218312,,CB,"Aug 23, 1995",,
Stephon Gilmore,South Carolina,4,14942,1,CB,"Sep 19, 1990",2012,10
Rex Burkhead,Nebraska,4,15971,6,RB,"Jul 2, 1990",2013,190
James O'Shaughnessy,Illinois State,0,2508079,5,TE,"Jan 14, 1992",2015,173
Malcolm Mitchell,Georgia,,2578553,4,,"Jul 20, 1992",2016,112
Tony Washington,Appalachian State,,17048,,,"Oct 18, 1990",,
Brandin Cooks,Oregon State,2,16731,1,WR,"Sep 25, 1993",2014,20
Danny Amendola,Texas Tech,0,11674,,WR,"Nov 2, 1985",,
James White,Wisconsin,8,16913,4,RB,"Feb 3, 1992",2014,130
Julian Edelman,Kent State,1,12649,7,WR,"May 22, 1986",2009,232
Chris Hogan,Monmouth,5,14402,,WR,"Oct 24, 1988",,
Cody Hollister,Arkansas,,3115443,,,"Nov 18, 1993",,
Tom Brady,Michigan,2,2330,6,QB,"Aug 3, 1977",2000,199
Trey Flowers,Arkansas,8,2574519,4,DE,"Aug 16, 1993",2015,101
Duron Harmon,Rutgers,,15842,3,,"Jan 24, 1991",2013,91
Kony Ealy,Missouri,6,16773,2,DE,"Dec 21, 1991",2014,60
Rob Gronkowski,Arizona,7,13229,2,TE,"May 14, 1989",2010,42
Mike Gillislee,Florida,5,15952,5,RB,"Nov 1, 1990",2013,164
William Likely,Maryland,,3044776,,,"Sep 13, 1994",,
Nick Usher,UTEP,,3042536,,,"Jan 22, 1995",,
Brooks Ellis,Arkansas,7,3046430,,LB,"Jan 15, 1995",,
Cassius Marsh,UCLA,4,16873,4,DE,"Jul 7, 1992",2014,108
Dont'a Hightower,Alabama,4,14933,1,LB,"Mar 12, 1990",2012,25
Johnson Bademosi,Stanford,0,15359,,CB,"Jul 23, 1990",,
Dwayne Allen,Clemson,3,14901,3,TE,"Feb 24, 1990",2012,64
Phillip Dorsett,Miami,3,2579604,1,WR,"Jan 5, 1993",2015,29
Marquis Flowers,Arizona,9,16924,6,LB,"Feb 16, 1992",2014,212
James Develin,Brown,6,13940,,FB,"Jul 23, 1988",,
Nate Ebner,Ohio State,,15125,6,,"Dec 14, 1988",2012,197
Joe Thuney,NC State,,2577773,3,,"Nov 18, 1992",2016,78
Matthew Slater,UCLA,8,11387,5,WR,"Sep 9, 1985",2008,153
Trevor Reilly,Utah,,16834,7,,"Jan 17, 1988",2014,233
Ricky Jean Francois,LSU,7,12443,7,DT,"Nov 23, 1986",2009,244
Martellus Bennett,Texas A&M,,11295,2,,"Mar 10, 1987",2008,61
Brian Hoyer,Michigan State,2,12477,,QB,"Oct 13, 1985",,
Eric Lee,South Florida,5,2970397,,DE,"Aug 6, 1994",,
Nicholas Grigsby,Pittsburgh,0,2576660,,LB,"Jul 2, 1992",,
Kenny Britt,Rutgers,8,12556,1,WR,"Sep 19, 1988",2009,30
James Harrison,Kent State,,4433,,,"May 4, 1978",,
Zach Vigil,Utah State,6,2517389,,LB,"Mar 28, 1991",,
Josh Harvey-Clemons,Louisville,0,2977645,7,LB,"Feb 20, 1994",2017,230
Lynden Trail,Norfolk State,,2516070,,,"Mar 19, 1991",,
Nico Marley,Tulane,,3041099,,,"Jan 5, 1995",,
Mason Foster,Washington,4,14023,3,LB,"Mar 1, 1989",2011,84
Zach Brown,North Carolina,3,14973,2,LB,"Oct 23, 1989",2012,52
Stefan McClure,California,,2576878,,,"Jan 31, 1993",,
Chris Carter,Fresno State,,14174,5,,"Apr 6, 1989",2011,162
Ryan Anderson,Alabama,2,2976495,2,LB,"Aug 12, 1994",2017,49
Anthony Lanier II,Alabama A&M,2,2585962,,DE,"May 8, 1993",,
Fish Smithson,Kansas,,3892785,,,"Mar 18, 1994",,
Dashaun Phillips,Tarleton State,5,17333,,CB,"Jan 3, 1991",,
Tim Scott,North Carolina,5,2577110,,CB,"Jan 25, 1993",,
Deshazor Everett,Texas A&M,,2578692,,,"Feb 22, 1992",,
Robert Davis,Georgia State,9,3042373,6,WR,"Apr 2, 1995",2017,209
Pete Robertson,Texas Tech,5,2577651,,LB,"Dec 12, 1992",,
Jonathan Allen,Alabama,3,3054840,1,DE,"Jan 16, 1995",2017,17
Phil Taylor Sr.,Baylor,9,13968,1,DT,"Apr 7, 1988",2011,21
Terrell McClain,South Florida,9,14014,3,DT,"Jul 20, 1988",2011,65
Tress Way,Oklahoma,,16166,,,"Apr 18, 1990",,
A.J. Francis,Maryland,5,16398,,DT,"May 7, 1990",,
Joshua Holsey,Auburn,8,2971036,7,CB,"Jun 25, 1994",2017,235
Tevin Homer,Florida Atlantic,,3932122,,,"Mar 13, 1995",,
Will Blackmon,Boston ,,9701,4,,"Oct 27, 1984",2006,115
Ziggy Hood,Missouri,0,12442,1,NT,"Feb 16, 1987",2009,32
Derek Carrier,Beloit ,5,15403,,TE,"Jul 25, 1990",,
Trent Murphy,Stanford,3,16751,2,DE,"Dec 22, 1990",2014,47
Quinton Dunbar,Florida,3,2516049,,CB,"Jul 22, 1992",,
Joey Mbu,Houston,3,2575583,,DT,"Mar 28, 1993",,
Zach Pascal,Old Dominion,4,2978109,,WR,"Dec 18, 1994",,
Jeremiah McKinnon,Florida Intl,7,2981866,,CB,"Jun 29, 1993",,
Brian Quick,Appalachian State,3,14914,2,WR,"Jun 5, 1989",2012,33
Ryan Grant,Tulane,1,16845,5,WR,"Dec 19, 1990",2014,142
Matt Jones,Florida,8,2980105,3,RB,"Mar 7, 1993",2015,95
James Quick,Louisville,,3040052,,,"Oct 6, 1994",,
Matt Hazel,Coastal Carolina,3,16870,6,WR,"Jan 23, 1992",2014,190
Rob Kelley,Tulane,0,2575408,,RB,"Oct 3, 1992",,
Jeremy Sprinkle,Arkansas,7,2980073,5,TE,"Aug 10, 1994",2017,154
Terrelle Pryor,Ohio State,1,14851,,WR,"Jun 20, 1989",,
Manasseh Garner,Pittsburgh,2,2515609,,TE,"Mar 11, 1992",,
Samaje Perine,Oklahoma,2,3116389,4,RB,"Sep 16, 1995",2017,114
Dustin Hopkins,Florida State,3,15965,6,PK,"Oct 1, 1990",2013,177
Mack Brown,Florida,1,2512191,,RB,"Sep 24, 1991",,
Chris Thompson,Florida State,5,15966,5,RB,"Oct 20, 1990",2013,154
Colt McCoy,Texas,2,13199,3,QB,"Sep 5, 1986",2010,85
Nate Sudfeld,Indiana,7,2979501,6,QB,"Oct 7, 1993",2016,187
Kirk Cousins,Michigan State,8,14880,4,QB,"Aug 19, 1988",2012,102
Fabian Moreau,UCLA,1,2971586,3,CB,"Apr 9, 1994",2017,81
Bashaud Breeland,Clemson,,16890,4,,"Jan 30, 1992",2014,102
Martrell Spaight,Arkansas,0,3046428,5,LB,"Aug 5, 1993",2015,141
Montae Nicholson,Michigan State,,3134683,4,,"Dec 4, 1995",2017,123
Josh Norman,Coastal Carolina,4,15124,5,CB,"Dec 15, 1987",2012,143
Preston Smith,Mississippi State,4,2577446,2,LB,"Nov 17, 1992",2015,38
D.J. Swearinger,South Carolina,,15865,2,,"Sep 1, 1991",2013,57
Brandon Banks,Charlotte,,3050096,,,"Jul 13, 1994",,
Matt Ioannidis,Temple,8,2976263,5,DT,"Jan 11, 1994",2016,152
Stacy McGee,Oklahoma,2,15906,6,DT,"Jan 17, 1990",2013,205
Vernon Davis,Maryland,5,9592,1,TE,"Jan 31, 1984",2006,6
Niles Paul,Nebraska,1,14156,5,TE,"Aug 9, 1989",2011,155
Josh Doctson,TCU,8,2576019,1,WR,"Dec 3, 1992",2016,22
Jamison Crowder,Duke,0,2576716,4,WR,"Jun 17, 1993",2015,105
Kendall Fuller,Virginia Tech,3,3045465,3,CB,"Feb 13, 1995",2016,84
Will Compton,Nebraska,1,16324,,LB,"Sep 19, 1989",,
Junior Galette,Stillman,,13566,,,"Mar 27, 1988",,
Nick Sundberg,California,7,12904,,LS,"Jul 29, 1987",,
Jordan Reed,Florida,6,15860,3,TE,"Jul 3, 1990",2013,85
Maurice Harris,California,3,2576868,,WR,"Nov 11, 1992",,
Ondre Pipkins,Texas Tech,8,2977620,,DT,"Feb 25, 1994",,
Tyler Catalina,Georgia,,2969004,,,"Jan 24, 1993",,
Ron Thompson Jr.,Syracuse,,2970420,,,"Aug 2, 1993",,
Jamari Staples,Louisville,,3060040,,,"Sep 10, 1994",,
E.J. Bibbs,Iowa State,,3039924,,,"Aug 28, 1991",,
Kenny Hilliard,LSU,0,2577288,7,RB,"Oct 3, 1991",2015,235
Ryan Kerrigan,Purdue,1,13973,1,LB,"Aug 16, 1988",2011,16
Trent Williams,Oklahoma,1,13241,1,OT,"Jul 19, 1988",2010,4
Brandon Scherff,Iowa,,2511708,1,,"Dec 26, 1991",2015,5
Nick Rose,Texas,6,2971728,,PK,"May 5, 1994",,
Morgan Moses,Virginia,6,16771,3,OT,"Mar 3, 1991",2014,66
Chase Roullier,Wyoming,,2976182,6,,"Aug 23, 1993",2017,199
DeAngelo Hall,Virginia Tech,,5533,1,,"Nov 19, 1983",2004,8
Byron Marshall,Oregon,4,2971289,,RB,"Feb 13, 1994",,
Ty Nsekhe,Texas State,9,15724,,OT,"Oct 27, 1985",,
Arie Kouandjio,Alabama,,2515944,4,,"Apr 23, 1992",2015,112
LeShun Daniels Jr.,Iowa,6,3040143,,RB,"Jun 4, 1995",,
Otha Peters,Louisiana,2,2980070,,LB,"Feb 27, 1994",,
Kapri Bibbs,Colorado State,5,16969,,RB,"Jan 10, 1993",,
Brent Urban,Virginia,6,16831,4,DE,"May 5, 1991",2014,134
Patrick Onwuasor,Portland State,8,2576761,,LB,"Aug 22, 1992",,
Bam Bradley,Pittsburgh,3,2970256,,LB,"Jun 26, 1994",,
Michael Pierce,Samford,7,2972144,,DT,"Nov 6, 1992",,
Tyus Bowser,Houston,4,3040037,2,LB,"May 23, 1995",2017,47
Jaylen Hill,Jacksonville State,3,3057517,,CB,"May 26, 1994",,
Anthony Levine Sr.,Tennessee State,1,13845,,CB,"Mar 27, 1987",,
Bronson Kaufusi,BYU,2,2980444,3,DE,"Jul 6, 1991",2016,70
Patrick Ricard,Maine,2,2975417,,DE,"May 27, 1994",,
Matthew Judon,Grand Valley State,9,3961466,5,LB,"Aug 15, 1992",2016,146
Terrell Suggs,Arizona State,5,4468,1,LB,"Oct 11, 1982",2003,10
Brandon Boykin,Georgia,,15057,4,,"Jul 13, 1990",2012,123
Otha Foster,West Alabama,,16258,,,"Sep 27, 1988",,
Brennen Beyer,Michigan,,2576253,,,"Nov 25, 1992",,
Chris Wormley,Michigan,3,2977615,3,DE,"Oct 25, 1993",2017,74
Willie Henry,Michigan,9,2977625,4,DT,"Mar 20, 1994",2016,132
Kamalei Correa,Boise State,1,3042874,2,LB,"Apr 27, 1994",2016,42
Za'Darius Smith,Kentucky,0,3043168,4,LB,"Sep 8, 1992",2015,122
Chuck Clark,Virginia Tech,,3045463,6,,"Apr 19, 1995",2017,186
Donald Payne,Stetson,2,3048402,,LB,"Jul 12, 1994",,
Robertson Daniel,BYU,1,3053794,,CB,"Oct 2, 1991",,
Brandon Williams,Missouri Southern State,8,15875,3,DT,"Feb 21, 1989",2013,94
C.J. Mosley,Alabama,7,16720,1,LB,"Jun 19, 1992",2014,17
Albert McClellan,Marshall,0,13851,,LB,"Jun 4, 1986",,
Trevin Wade,Arizona,,15016,7,,"Aug 1, 1989",2012,245
Carl Davis,Iowa,4,2511690,3,DT,"Mar 2, 1992",2015,90
C.J. Board,Chattanooga,6,2973626,,WR,"Dec 12, 1993",,
Tim White,Arizona State,4,3915403,,WR,"Jul 15, 1994",,
Quincy Adeboyejo,Ole Miss,6,3051869,,WR,"May 26, 1995",,
Chris Moore,Cincinnati,0,2576581,4,WR,"Jun 16, 1993",2016,107
Javorius Allen,USC,7,2577253,4,RB,"Aug 27, 1991",2015,125
Griff Whalen,Stanford,3,15360,,WR,"Mar 1, 1990",,
Michael Campanaro,Wake Forest,0,16832,7,WR,"Jan 25, 1991",2014,218
Nick Boyle,Delaware,6,2574591,5,TE,"Feb 17, 1993",2015,171
Maxx Williams,Minnesota,7,2970726,2,TE,"Apr 12, 1994",2015,55
Taquan Mizzell,Virginia,3,3048680,,RB,"Oct 21, 1993",,
Ricky Ortiz,Oregon State,0,2978244,,RB,"Apr 15, 1994",,
Chris Matthews,Kentucky,,14285,,,"Oct 6, 1989",,
Larry Donnell,Grambling,,15707,,,"Nov 1, 1988",,
Terrance West,Towson,8,16783,3,RB,"Jan 28, 1991",2014,94
Justin Tucker,Texas,9,15683,,PK,"Nov 21, 1989",,
Josh Woodrum,Liberty,7,2575214,,QB,"Nov 7, 1992",,
Bobby Rainey Jr.,Western Kentucky,,15501,,,"Oct 16, 1987",,
Sam Koch,Nebraska,,9789,6,,"Aug 13, 1982",2006,203
Kenny Allen,Michigan,,3045226,,,"Jul 8, 1994",,
Ryan Mallett,Arkansas,,14037,3,,"Jun 5, 1988",2011,74
Dustin Vaughan,West Texas A&M,,17337,,,"Jan 27, 1991",,
Tim Williams,Alabama,6,3054862,3,LB,"Nov 12, 1993",2017,78
Brandon Carr,Grand Valley State,4,11363,5,CB,"May 19, 1986",2008,140
Eric Weddle,Utah,,10481,2,,"Jan 4, 1985",2007,37
Lardarius Webb,Nicholls,,12747,3,,"Oct 12, 1985",2009,88
Jimmy Smith,Colorado,2,13963,1,CB,"Jul 26, 1988",2011,27
Tony Jefferson,Oklahoma,,16195,,,"Jan 27, 1992",,
Boseko Lokombo,Oregon,1,2475164,,LB,"Oct 15, 1990",,
Randy Allen,South Alabama,,3933340,,,"Aug 4, 1993",,
Sheldon Price,UCLA,,16302,,,"Mar 26, 1991",,
Mike Wallace,Ole Miss,4,12601,3,WR,"Aug 1, 1986",2009,84
Vince Mayle,Washington State,8,3052066,4,TE,"Jun 12, 1991",2015,123
Benjamin Watson,Georgia,2,5557,1,TE,"Dec 18, 1980",2004,32
Ryan Malleck,Virginia Tech,2,2577892,,TE,"Jul 22, 1993",,
Jeremy Maclin,Missouri,,12579,1,,"May 11, 1988",2009,19
Danny Woodhead,Chadron State,,11788,,,"Jan 25, 1985",,
Lorenzo Taliaferro,Coastal Carolina,,16950,4,,"Dec 23, 1991",2014,138
Thaddeus Lewis,Duke,,13606,,,"Nov 19, 1987",,
Austin Howard,Northern Iowa,9,13585,,OT,"Mar 22, 1987",,
Matt Skura,Duke,,2576733,,,"Feb 17, 1993",,
Reggie Porter,Utah,1,2971659,,CB,"Jul 13, 1994",,
Marlon Humphrey,Alabama,9,3126356,1,CB,"Jul 8, 1996",2017,16
Keenan Reynolds,Navy,5,2970457,6,WR,"Dec 13, 1993",2016,182
Breshad Perriman,UCF,1,2972460,1,WR,"Sep 10, 1993",2015,26
Joe Flacco,Delaware,5,11252,1,QB,"Jan 16, 1985",2008,18
Alex Collins,Arkansas,4,3046409,5,RB,"Aug 26, 1994",2016,171
Jonathan Freeny,Rutgers,5,14387,,LB,"Jun 15, 1989",,
Tony McRae,North Carolina A&T,9,2969422,,CB,"May 3, 1993",,
Morgan Cox,Tennessee,6,13848,,LS,"Apr 26, 1986",,
Steven Johnson,Kansas,,15733,,,"Mar 28, 1988",,
Maurice Canady,Virginia,6,2979655,6,CB,"May 26, 1994",2016,209
Ryan Jensen,Colorado State-Pueblo,,16038,6,,"May 27, 1991",2013,203
Stanley Jean-Baptiste,Nebraska,8,16774,2,CB,"Apr 12, 1990",2014,58
Jamal Carter,Miami,,3051925,,,"Apr 12, 1994",,
Orion Stewart,Baylor,,2978946,,,"Jan 10, 1994",,
Chris Lewis-Harris,Chattanooga,9,15713,,CB,"Feb 11, 1989",,
Kevin Snyder,Rutgers,,2582398,,,"Jul 25, 1992",,
Marcus Rios,UCLA,8,2971592,,CB,"Oct 25, 1994",,
Zaire Anderson,Nebraska,0,2974300,,LB,"Aug 18, 1992",,
Brendan Langley,Lamar,7,3043144,3,CB,"Oct 16, 1994",2017,101
Shakir Soto,Pittsburgh,4,3045152,,DE,"Feb 12, 1994",,
Billy Winn,Boise State,,15021,6,,"Apr 15, 1989",2012,205
Shelby Harris,Illinois State,6,16837,7,DE,"Aug 11, 1991",2014,235
Zach Kerr,Delaware,2,17071,,NT,"Aug 29, 1990",,
Kasim Edebali,Boston ,7,17141,,LB,"Aug 17, 1989",,
Justin Simmons,Boston ,,2969860,3,,"Nov 19, 1993",2016,98
Dymonte Thomas,Michigan,,3045206,,,"Nov 30, 1993",,
DeMarcus Walker,Florida State,7,3045377,2,DE,"Sep 30, 1994",2017,51
Jared Crick,Nebraska,,15019,4,,"Aug 21, 1989",2012,126
Corey Nelson,Oklahoma,2,16902,7,LB,"Apr 22, 1992",2014,242
Jordan Taylor,Rice,7,2515662,,WR,"Feb 18, 1992",,
Vontarrius Dora,Louisiana Tech,9,2574163,,DE,"Sep 7, 1992",,
Will Parks,Arizona,,2971248,6,,"Jul 29, 1994",2016,219
Adam Gotsis,Georgia Tech,9,2971498,2,DE,"Sep 23, 1992",2016,63
Lorenzo Doss,Tulane,1,2972135,5,CB,"Apr 20, 1994",2015,164
Dante Barnett,Kansas State,,2977685,,,"Jun 14, 1993",,
Danny Mason,Texas A&M-Commerce,,2981913,,,"Oct 14, 1990",,
Carlos Henderson,Louisiana Tech,,3040561,3,,"Dec 19, 1994",2017,82
Tyrique Jarrett,Pittsburgh,,3045154,,,"Feb 16, 1994",,
Darian Stewart,South Carolina,,13645,,,"Aug 4, 1988",,
Chris Harris Jr.,Kansas,5,14398,,CB,"Jun 18, 1989",,
Cody Latimer,Indiana,2,16793,2,WR,"Oct 10, 1992",2014,56
Isaiah McKenzie,Georgia,6,3128724,5,WR,"Apr 9, 1995",2017,172
Kalif Raymond,Holy Cross,3,2973405,,WR,"Aug 8, 1994",,
Marlon Brown,Georgia,1,16581,,WR,"Apr 22, 1991",,
Demaryius Thomas,Georgia Tech,8,13216,1,WR,"Dec 25, 1987",2010,22
Emmanuel Sanders,SMU,0,13295,3,WR,"Mar 17, 1987",2010,82
De'Angelo Henderson,Coastal Carolina,3,2968226,6,RB,"Nov 24, 1992",2017,203
Bennie Fowler,Michigan State,3,16995,,WR,"Jun 10, 1991",,
Steven Scheu,Vanderbilt,,2577793,,,"Jul 7, 1992",,
A.J. Derby,Arkansas,5,3046413,6,TE,"Sep 20, 1991",2015,202
Brandon McManus,Temple,8,16339,,PK,"Jul 25, 1991",,
C.J. Anderson,California,0,16040,,RB,"Feb 10, 1991",,
Stevan Ridley,LSU,2,14028,3,RB,"Jan 27, 1989",2011,73
Paxton Lynch,Memphis,2,2977881,1,QB,"Feb 12, 1994",2016,26
Juwan Thompson,Duke,,17045,,,"May 13, 1992",,
Riley Dixon,Syracuse,,2577619,7,,"Aug 24, 1993",2016,228
Kyle Sloter,Northern Colorado,1,2972092,,QB,"Feb 7, 1994",,
Trevor Siemian,Northwestern,3,2511109,7,QB,"Dec 26, 1991",2015,250
Quentin Gause,Rutgers,,2582402,,,"Oct 30, 1992",,
Nelson Adams,Mississippi State,,2971402,,,"Feb 16, 1994",,
Domata Peko Sr.,Michigan State,4,9709,4,DT,"Nov 27, 1984",2006,123
Aqib Talib,Kansas,1,11254,1,CB,"Feb 13, 1986",2008,20
Bradley Roby,Ohio State,9,16719,1,CB,"May 1, 1992",2014,31
Ken Ekanem,Virginia Tech,,2970091,,,"Apr 8, 1994",,
Hunter Sharp,Utah State,5,3125354,,WR,"Apr 25, 1994",,
Jeff Heuerman,Ohio State,2,2576389,3,TE,"Nov 24, 1992",2015,92
Virgil Green,Nevada,8,14085,7,TE,"Aug 3, 1988",2011,204
Andy Janovich,Nebraska,2,2974317,6,FB,"May 23, 1993",2016,176
Brandon Marshall,Nevada,4,15002,5,LB,"Sep 10, 1989",2012,142
Todd Davis,Sacramento State,1,17497,,LB,"May 17, 1992",,
Von Miller,Texas A&M,8,13976,1,LB,"Mar 26, 1989",2011,2
Ty Sambrailo,Colorado State,4,2514397,2,OT,"Mar 10, 1992",2015,59
Deon Hollins,UCLA,,3047555,,,"Nov 5, 1994",,
Jamaal Charles,Texas,,11307,3,,"Dec 27, 1986",2008,73
Austin Traylor,Wisconsin,6,2576449,,TE,"Sep 3, 1993",,
Deiontrez Mount,Louisville,3,2576635,6,LB,"Feb 26, 1993",2015,177
Jerrol Garcia-Williams,Hawai'i,2,2980586,,LB,"Dec 24, 1993",,
Anthony Nash,Duke,,2969894,,,"Sep 20, 1993",,
Stanley Williams,Kentucky,,3126338,,,"Sep 30, 1995",,
Derek Wolfe,Cincinnati,5,14964,2,DE,"Feb 24, 1990",2012,36
Shaquil Barrett,Colorado State,8,16967,,LB,"Nov 17, 1992",,
Menelik Watson,Florida State,5,15871,2,OT,"Dec 22, 1988",2013,42
Ronald Leary,Memphis,,15276,,,"Apr 29, 1989",,
Casey Kreiter,Iowa,2,17304,,LS,"Aug 13, 1990",,
Devontae Booker,Utah,3,3122866,4,RB,"May 27, 1992",2016,136
Billy Turner,North Dakota State,,16759,3,,"Oct 17, 1991",2014,67
Brock Osweiler,Arizona State,8,14879,2,QB,"Nov 22, 1990",2012,57
Max Garcia,Florida,,2512538,4,,"Nov 9, 1991",2015,133
Shane Ray,Missouri,6,2577371,1,LB,"May 18, 1993",2015,23
Matt Paradis,Boise State,,16847,6,,"Oct 12, 1989",2014,207
Garett Bolles,Utah,2,4035662,1,OT,"May 27, 1992",2017,20
Kyle Peko,Oregon State,0,3134288,,NT,"Jul 23, 1993",,
Connor McGovern,Missouri,,2577367,5,,"Apr 27, 1993",2016,144
Joe Jones,Northwestern,3,2974344,,LB,"Feb 21, 1994",,
